benchmark,variant,seed,workload_scale,buffer_depth,baseline,bytes,events,replay_success,property_match,final_signature_match,event_match,reduction_vs_full_instruction_pct,reduction_vs_full_commit_pct,reduction_vs_snapshot_pct,diagnostic_context_available,notes
uart_command_bug,no_failure_edge,3,medium,256,full_commit_trace,255664,15979,false,NA,NA,NA,-100.00,0.00,-6141.80,false,ESTIMATED formula=commits*(pc+instruction+register-digest=16B)
uart_command_bug,no_failure_edge,3,medium,256,pc_only_trace,63916,15979,false,NA,NA,NA,50.00,75.00,-1460.45,false,ESTIMATED formula=commits*pc32
uart_command_bug,no_failure_edge,3,medium,256,branch_trace,0,0,false,NA,NA,NA,100.00,100.00,100.00,false,ESTIMATED formula=branch/jump events*(type+pc+target=12B)
uart_command_bug,no_failure_edge,3,medium,256,riscv_etrace_branch_trace_estimate,2000,0,false,NA,NA,NA,98.44,99.22,51.17,false,ESTIMATED RISC-V E-Trace/N-Trace-style branch stream; formula=branch/jump events*4B + 64-commit sync packets*8B
uart_command_bug,no_failure_edge,3,medium,256,load_store_trace,12,1,false,NA,NA,NA,99.99,100.00,99.71,false,ESTIMATED formula=load/store/MMIO events*(type+addr+data=12B)
uart_command_bug,no_failure_edge,3,medium,256,mmio_only_trace,12,1,false,NA,NA,NA,99.99,100.00,99.71,false,ESTIMATED formula=MMIO read/write events*(type+addr+data=12B)
uart_command_bug,no_failure_edge,3,medium,256,interrupt_only_trace,0,0,false,NA,NA,NA,100.00,100.00,100.00,false,ESTIMATED formula=interrupt events*(type+pc+commit=12B)
uart_command_bug,no_failure_edge,3,medium,256,interrupt_plus_mmio_trace,12,1,false,NA,NA,NA,99.99,100.00,99.71,false,ESTIMATED formula=(interrupt+MMIO events)*12B
uart_command_bug,no_failure_edge,3,medium,256,snapshot_at_failure,4096,1,false,NA,NA,NA,96.80,98.40,0.00,true,ESTIMATED fixed 4KiB state snapshot at failure
uart_command_bug,no_failure_edge,3,medium,256,replaycapsule_core,8,1,true,PASS,PASS,PASS,99.99,100.00,99.80,true,MEASURED from workload_scaling capsule_bytes
uart_command_bug,no_failure_edge,3,medium,256,replaycapsule_with_diagnostics,16,1,true,PASS,PASS,PASS,99.99,99.99,99.61,true,ESTIMATED measured capsule plus 8B/event diagnostic context
uart_command_bug,no_failure_edge,3,medium,256,replaycapsule_with_payload_hashes,12,1,true,PASS,PASS,PASS,99.99,100.00,99.71,true,ESTIMATED measured capsule plus 4B/event payload hash
uart_command_bug,no_failure_edge,4,medium,256,full_instruction_trace,127832,15979,false,NA,NA,NA,0.00,50.00,-3020.90,false,ESTIMATED formula=commits*(pc+instruction=8B)
uart_command_bug,no_failure_edge,4,medium,256,full_commit_trace,255664,15979,false,NA,NA,NA,-100.00,0.00,-6141.80,false,ESTIMATED formula=commits*(pc+instruction+register-digest=16B)
uart_command_bug,no_failure_edge,4,medium,256,pc_only_trace,63916,15979,false,NA,NA,NA,50.00,75.00,-1460.45,false,ESTIMATED formula=commits*pc32
uart_command_bug,no_failure_edge,4,medium,256,branch_trace,0,0,false,NA,NA,NA,100.00,100.00,100.00,false,ESTIMATED formula=branch/jump events*(type+pc+target=12B)
uart_command_bug,no_failure_edge,4,medium,256,riscv_etrace_branch_trace_estimate,2000,0,false,NA,NA,NA,98.44,99.22,51.17,false,ESTIMATED RISC-V E-Trace/N-Trace-style branch stream; formula=branch/jump events*4B + 64-commit sync packets*8B
uart_command_bug,no_failure_edge,4,medium,256,load_store_trace,12,1,false,NA,NA,NA,99.99,100.00,99.71,false,ESTIMATED formula=load/store/MMIO events*(type+addr+data=12B)
uart_command_bug,no_failure_edge,4,medium,256,mmio_only_trace,12,1,false,NA,NA,NA,99.99,100.00,99.71,false,ESTIMATED formula=MMIO read/write events*(type+addr+data=12B)
uart_command_bug,no_failure_edge,4,medium,256,interrupt_only_trace,0,0,false,NA,NA,NA,100.00,100.00,100.00,false,ESTIMATED formula=interrupt events*(type+pc+commit=12B)
uart_command_bug,no_failure_edge,4,medium,256,interrupt_plus_mmio_trace,12,1,false,NA,NA,NA,99.99,100.00,99.71,false,ESTIMATED formula=(interrupt+MMIO events)*12B
uart_command_bug,no_failure_edge,4,medium,256,snapshot_at_failure,4096,1,false,NA,NA,NA,96.80,98.40,0.00,true,ESTIMATED fixed 4KiB state snapshot at failure
uart_command_bug,no_failure_edge,4,medium,256,replaycapsule_core,8,1,true,PASS,PASS,PASS,99.99,100.00,99.80,true,MEASURED from workload_scaling capsule_bytes
uart_command_bug,no_failure_edge,4,medium,256,replaycapsule_with_diagnostics,16,1,true,PASS,PASS,PASS,99.99,99.99,99.61,true,ESTIMATED measured capsule plus 8B/event diagnostic context
uart_command_bug,no_failure_edge,4,medium,256,replaycapsule_with_payload_hashes,12,1,true,PASS,PASS,PASS,99.99,100.00,99.71,true,ESTIMATED measured capsule plus 4B/event payload hash
uart_command_bug,no_failure_edge,5,medium,256,full_instruction_trace,127832,15979,false,NA,NA,NA,0.00,50.00,-3020.90,false,ESTIMATED formula=commits*(pc+instruction=8B)
uart_command_bug,no_failure_edge,5,medium,256,full_commit_trace,255664,15979,false,NA,NA,NA,-100.00,0.00,-6141.80,false,ESTIMATED formula=commits*(pc+instruction+register-digest=16B)
uart_command_bug,no_failure_edge,5,medium,256,pc_only_trace,63916,15979,false,NA,NA,NA,50.00,75.00,-1460.45,false,ESTIMATED formula=commits*pc32
uart_command_bug,no_failure_edge,5,medium,256,branch_trace,0,0,false,NA,NA,NA,100.00,100.00,100.00,false,ESTIMATED formula=branch/jump events*(type+pc+target=12B)
uart_command_bug,no_failure_edge,5,medium,256,riscv_etrace_branch_trace_estimate,2000,0,false,NA,NA,NA,98.44,99.22,51.17,false,ESTIMATED RISC-V E-Trace/N-Trace-style branch stream; formula=branch/jump events*4B + 64-commit sync packets*8B
uart_command_bug,no_failure_edge,5,medium,256,load_store_trace,12,1,false,NA,NA,NA,99.99,100.00,99.71,false,ESTIMATED formula=load/store/MMIO events*(type+addr+data=12B)
uart_command_bug,no_failure_edge,5,medium,256,mmio_only_trace,12,1,false,NA,NA,NA,99.99,100.00,99.71,false,ESTIMATED formula=MMIO read/write events*(type+addr+data=12B)
uart_command_bug,no_failure_edge,5,medium,256,interrupt_only_trace,0,0,false,NA,NA,NA,100.00,100.00,100.00,false,ESTIMATED formula=interrupt events*(type+pc+commit=12B)
uart_command_bug,no_failure_edge,5,medium,256,interrupt_plus_mmio_trace,12,1,false,NA,NA,NA,99.99,100.00,99.71,false,ESTIMATED formula=(interrupt+MMIO events)*12B
uart_command_bug,no_failure_edge,5,medium,256,snapshot_at_failure,4096,1,false,NA,NA,NA,96.80,98.40,0.00,true,ESTIMATED fixed 4KiB state snapshot at failure
uart_command_bug,no_failure_edge,5,medium,256,replaycapsule_core,8,1,true,PASS,PASS,PASS,99.99,100.00,99.80,true,MEASURED from workload_scaling capsule_bytes
uart_command_bug,no_failure_edge,5,medium,256,replaycapsule_with_diagnostics,16,1,true,PASS,PASS,PASS,99.99,99.99,99.61,true,ESTIMATED measured capsule plus 8B/event diagnostic context
uart_command_bug,no_failure_edge,5,medium,256,replaycapsule_with_payload_hashes,12,1,true,PASS,PASS,PASS,99.99,100.00,99.71,true,ESTIMATED measured capsule plus 4B/event payload hash
uart_command_bug,no_failure_edge,1,long,256,full_instruction_trace,244784,30598,false,NA,NA,NA,0.00,50.00,-5876.17,false,ESTIMATED formula=commits*(pc+instruction=8B)
uart_command_bug,no_failure_edge,1,long,256,full_commit_trace,489568,30598,false,NA,NA,NA,-100.00,0.00,-11852.34,false,ESTIMATED formula=commits*(pc+instruction+register-digest=16B)
uart_command_bug,no_failure_edge,1,long,256,pc_only_trace,122392,30598,false,NA,NA,NA,50.00,75.00,-2888.09,false,ESTIMATED formula=commits*pc32
uart_command_bug,no_failure_edge,1,long,256,branch_trace,0,0,false,NA,NA,NA,100.00,100.00,100.00,false,ESTIMATED formula=branch/jump events*(type+pc+target=12B)
uart_command_bug,no_failure_edge,1,long,256,riscv_etrace_branch_trace_estimate,3832,0,false,NA,NA,NA,98.43,99.22,6.45,false,ESTIMATED RISC-V E-Trace/N-Trace-style branch stream; formula=branch/jump events*4B + 64-commit sync packets*8B
uart_command_bug,no_failure_edge,1,long,256,load_store_trace,12,1,false,NA,NA,NA,100.00,100.00,99.71,false,ESTIMATED formula=load/store/MMIO events*(type+addr+data=12B)
uart_command_bug,no_failure_edge,1,long,256,mmio_only_trace,12,1,false,NA,NA,NA,100.00,100.00,99.71,false,ESTIMATED formula=MMIO read/write events*(type+addr+data=12B)
uart_command_bug,no_failure_edge,1,long,256,interrupt_only_trace,0,0,false,NA,NA,NA,100.00,100.00,100.00,false,ESTIMATED formula=interrupt events*(type+pc+commit=12B)
uart_command_bug,no_failure_edge,1,long,256,interrupt_plus_mmio_trace,12,1,false,NA,NA,NA,100.00,100.00,99.71,false,ESTIMATED formula=(interrupt+MMIO events)*12B
uart_command_bug,no_failure_edge,1,long,256,snapshot_at_failure,4096,1,false,NA,NA,NA,98.33,99.16,0.00,true,ESTIMATED fixed 4KiB state snapshot at failure
uart_command_bug,no_failure_edge,1,long,256,replaycapsule_core,8,1,true,PASS,PASS,PASS,100.00,100.00,99.80,true,MEASURED from workload_scaling capsule_bytes
uart_command_bug,no_failure_edge,1,long,256,replaycapsule_with_diagnostics,16,1,true,PASS,PASS,PASS,99.99,100.00,99.61,true,ESTIMATED measured capsule plus 8B/event diagnostic context
uart_command_bug,no_failure_edge,1,long,256,replaycapsule_with_payload_hashes,12,1,true,PASS,PASS,PASS,100.00,100.00,99.71,true,ESTIMATED measured capsule plus 4B/event payload hash
uart_command_bug,no_failure_edge,2,long,256,full_instruction_trace,244784,30598,false,NA,NA,NA,0.00,50.00,-5876.17,false,ESTIMATED formula=commits*(pc+instruction=8B)
uart_command_bug,no_failure_edge,2,long,256,full_commit_trace,489568,30598,false,NA,NA,NA,-100.00,0.00,-11852.34,false,ESTIMATED formula=commits*(pc+instruction+register-digest=16B)
uart_command_bug,no_failure_edge,2,long,256,pc_only_trace,122392,30598,false,NA,NA,NA,50.00,75.00,-2888.09,false,ESTIMATED formula=commits*pc32
uart_command_bug,no_failure_edge,2,long,256,branch_trace,0,0,false,NA,NA,NA,100.00,100.00,100.00,false,ESTIMATED formula=branch/jump events*(type+pc+target=12B)
uart_command_bug,no_failure_edge,2,long,256,riscv_etrace_branch_trace_estimate,3832,0,false,NA,NA,NA,98.43,99.22,6.45,false,ESTIMATED RISC-V E-Trace/N-Trace-style branch stream; formula=branch/jump events*4B + 64-commit sync packets*8B
uart_command_bug,no_failure_edge,2,long,256,load_store_trace,12,1,false,NA,NA,NA,100.00,100.00,99.71,false,ESTIMATED formula=load/store/MMIO events*(type+addr+data=12B)
uart_command_bug,no_failure_edge,2,long,256,mmio_only_trace,12,1,false,NA,NA,NA,100.00,100.00,99.71,false,ESTIMATED formula=MMIO read/write events*(type+addr+data=12B)
uart_command_bug,no_failure_edge,2,long,256,interrupt_only_trace,0,0,false,NA,NA,NA,100.00,100.00,100.00,false,ESTIMATED formula=interrupt events*(type+pc+commit=12B)
uart_command_bug,no_failure_edge,2,long,256,interrupt_plus_mmio_trace,12,1,false,NA,NA,NA,100.00,100.00,99.71,false,ESTIMATED formula=(interrupt+MMIO events)*12B
uart_command_bug,no_failure_edge,2,long,256,snapshot_at_failure,4096,1,false,NA,NA,NA,98.33,99.16,0.00,true,ESTIMATED fixed 4KiB state snapshot at failure
uart_command_bug,no_failure_edge,2,long,256,replaycapsule_core,8,1,true,PASS,PASS,PASS,100.00,100.00,99.80,true,MEASURED from workload_scaling capsule_bytes
uart_command_bug,no_failure_edge,2,long,256,replaycapsule_with_diagnostics,16,1,true,PASS,PASS,PASS,99.99,100.00,99.61,true,ESTIMATED measured capsule plus 8B/event diagnostic context
uart_command_bug,no_failure_edge,2,long,256,replaycapsule_with_payload_hashes,12,1,true,PASS,PASS,PASS,100.00,100.00,99.71,true,ESTIMATED measured capsule plus 4B/event payload hash
uart_command_bug,no_failure_edge,3,long,256,full_instruction_trace,244784,30598,false,NA,NA,NA,0.00,50.00,-5876.17,false,ESTIMATED formula=commits*(pc+instruction=8B)
uart_command_bug,no_failure_edge,3,long,256,full_commit_trace,489568,30598,false,NA,NA,NA,-100.00,0.00,-11852.34,false,ESTIMATED formula=commits*(pc+instruction+register-digest=16B)
uart_command_bug,no_failure_edge,3,long,256,pc_only_trace,122392,30598,false,NA,NA,NA,50.00,75.00,-2888.09,false,ESTIMATED formula=commits*pc32
uart_command_bug,no_failure_edge,3,long,256,branch_trace,0,0,false,NA,NA,NA,100.00,100.00,100.00,false,ESTIMATED formula=branch/jump events*(type+pc+target=12B)
uart_command_bug,no_failure_edge,3,long,256,riscv_etrace_branch_trace_estimate,3832,0,false,NA,NA,NA,98.43,99.22,6.45,false,ESTIMATED RISC-V E-Trace/N-Trace-style branch stream; formula=branch/jump events*4B + 64-commit sync packets*8B
uart_command_bug,no_failure_edge,3,long,256,load_store_trace,12,1,false,NA,NA,NA,100.00,100.00,99.71,false,ESTIMATED formula=load/store/MMIO events*(type+addr+data=12B)
